FIPS,year,median_household_income,poverty_rate,bachelor_plus_rate,unemployment_rate_acs,CO,NO2,PM2_5,PM10,O3,prcCancer_non_skin,prcAsthma,prcCoronaryHeartDisease,prcCOPD,prcSmoking,prcDiabetes,prcLPA,prcObesity,prcStroke
01017,2022,48805.0,0.1787814631851329,0.1273374888691006,0.0357622672893608,0.311353484162423,8.72522822559036,7.953205233108116,16.801866626844586,0.0296645608408765,7.4,10.5,9.0,10.2,20.6,16.3,33.9,41.2,4.9
01017,2023,49295.0,0.1548007838014369,0.1458503512497957,0.0496175720729554,0.3365964073477974,8.612418007109678,9.331779673581655,17.79028642103576,0.0319255049175982,8.4,10.7,8.6,9.9,17.7,17.9,34.3,41.5,5.2
01019,2019,41919.0,0.1392202103945876,0.1275299353608138,0.0443359187972804,0.3209123226315832,9.257540935596785,7.962298467287303,15.773610529855242,0.0309458236184789,9.1,9.9,10.1,12.0,23.0,15.3,37.7,34.7,5.2
01019,2020,42509.0,0.1293613707165109,0.1293423183409079,0.0412869629905151,0.3112775069689654,8.348007950798635,7.521702157892233,15.702192890437104,0.0271935260229606,8.9,10.4,10.9,12.1,21.8,15.9,33.2,39.1,4.9
01019,2021,43475.0,0.1497337073626865,0.1282273812106747,0.046998151211443,0.3316528489779725,8.789540193737741,8.361668407940883,16.970748068015382,0.0281421551764804,8.9,10.4,9.5,11.3,20.9,15.1,35.3,38.0,4.5
01019,2022,46621.0,0.1425906399545786,0.1459266857420504,0.0396714272379352,0.3067705203623439,8.622690285780008,7.780035714193729,17.394283819581187,0.0298075904861109,8.6,9.7,10.1,11.7,21.1,14.8,30.9,41.4,4.6
01019,2023,50769.0,0.145233396431592,0.1594503914363317,0.0343930098531325,0.3352628116220497,8.517765103144148,9.367136711935943,18.338562827051256,0.0320711708815458,10.6,10.2,9.6,10.7,17.5,16.0,31.4,39.5,4.8
01021,2019,47468.0,0.1911581855860004,0.1272382347067829,0.0640820249919897,0.2837267891035922,8.93652177785318,8.093434062784409,16.97779183984838,0.0294162861846098,7.5,9.8,8.3,10.5,23.4,14.1,35.9,39.5,4.5
01021,2020,52141.0,0.1701320207921247,0.1362053527012237,0.060989156307855,0.2646167639725445,7.858914351878273,7.719119437305585,16.666703535743196,0.0263889004985578,7.5,10.7,9.4,10.9,22.8,15.2,34.1,40.4,4.5
01021,2021,56243.0,0.1572398190045248,0.135357306609026,0.0639716387110429,0.2769113021519618,8.03034393263332,8.230428453692795,17.155790396825875,0.0265986755540727,7.5,10.3,7.9,9.7,21.3,13.7,35.4,42.6,3.9
01021,2022,62471.0,0.1445061992304403,0.1397301447286745,0.0530093870789619,0.2320609636994001,7.694281339552197,7.840049487926793,16.95085673621094,0.0288512206978681,7.2,9.9,8.8,10.6,21.5,13.5,32.0,37.7,4.1
01021,2023,61873.0,0.1361479336081096,0.1524701596903763,0.0539537682394825,0.2402729163665993,7.701126631069234,9.108758332429415,18.116826782114536,0.0310711054049349,8.6,10.0,7.6,8.8,16.9,14.1,31.1,40.0,4.0
01023,2019,35892.0,0.2334801762114537,0.1193053917890449,0.079011255793423,0.2528968330527016,6.736514478204412,7.969201733212351,16.357081373610725,0.028210556118616,8.7,10.7,10.5,11.9,22.6,19.5,39.5,39.9,6.5
01023,2020,36634.0,0.1971460459183673,0.1351613947965022,0.064652440312698,0.2513974883822809,5.952192589346804,7.847118466456751,16.91726149792335,0.0259456043245773,8.6,11.4,11.1,11.8,21.4,19.2,36.5,42.9,6.1
01023,2021,38581.0,0.2156629373958581,0.1171209998922529,0.0605311920938851,0.2629556549116559,6.202956010296095,7.842052730281307,17.671255174591842,0.0263401791382884,8.4,11.2,9.8,11.3,20.9,19.3,39.9,44.7,5.5
01023,2022,43299.0,0.1914228456913827,0.130468404772426,0.0520811545701736,0.2381171408701938,6.17801630122326,7.721139099624945,18.04521435878786,0.0282108505957144,8.1,10.5,10.3,11.2,20.2,18.2,33.2,41.4,5.6
01023,2023,44483.0,0.1953055443140429,0.1391420315625694,0.0550249169435215,0.2749184510565577,6.0219290702200645,8.378143657190401,18.840484718232773,0.0305320222112984,9.1,10.9,10.0,11.1,18.2,20.1,36.4,44.4,6.0
01025,2019,37404.0,0.2320975114271203,0.122242098986285,0.1220338983050847,0.2568720342712863,6.696154718815009,7.998674533516791,16.144970906610872,0.0293355738689488,7.9,10.8,9.7,11.2,23.4,18.2,40.8,44.2,6.0
01025,2020,37345.0,0.2503732139048837,0.1378794228581692,0.1163294015799155,0.2564174089928087,5.926099875718316,7.88244624467649,16.674675237097343,0.0271624072767984,7.9,11.4,10.7,11.6,22.8,19.1,37.5,40.5,5.8
01025,2021,44108.0,0.2190612901822611,0.1388530333763599,0.1223474801061007,0.2681403364179401,6.186175065173599,8.039224399958153,17.361944790073924,0.0278088486075922,7.8,11.2,8.8,10.3,20.4,17.6,40.2,43.1,5.0
01025,2022,47549.0,0.2236082337902763,0.1376834217920699,0.1245952886010941,0.2448120317996555,6.144096089339612,7.836385499461238,17.755833548614703,0.0294510534434219,7.5,10.7,9.8,11.1,21.8,17.5,33.8,40.2,5.5
01025,2023,49167.0,0.2054311959332917,0.1542653137918075,0.131590319792567,0.2770197764791196,6.030868846142768,8.800921652882428,18.56214121039688,0.0316841237183196,8.3,10.8,8.7,9.7,17.7,18.4,34.4,43.9,5.3
01027,2019,40845.0,0.1794773545865583,0.1056137012369172,0.0540818072907752,0.3062844638466008,9.101987855437963,7.550467289719626,16.21719315114595,0.0303203590709979,8.4,10.4,9.9,12.2,24.1,16.2,38.4,37.2,5.4
01027,2020,42678.0,0.1552068912475004,0.117810265713371,0.0535651563048823,0.2951876446251246,8.14130077889011,6.835238095238096,16.076607967439774,0.0269284749916196,8.4,11.0,10.5,12.1,23.6,16.3,34.4,35.9,5.1
01027,2021,45163.0,0.1692627952049386,0.1338148259604774,0.0611715914981855,0.3121524357346075,8.48831836410735,6.807272727272727,16.96926617982227,0.0277264455939966,8.4,10.6,9.0,10.7,20.2,15.3,37.2,41.7,4.5
01027,2022,48074.0,0.1757038957298192,0.127623594946782,0.0574817518248175,0.2796223963858953,8.27615854939361,6.880869565217391,17.074003623533525,0.0295582108329428,7.9,10.0,9.7,11.4,21.9,15.0,32.8,38.6,4.7
01027,2023,51852.0,0.165465032444124,0.1523540306072716,0.0348241117199929,0.2995325988086517,8.209415226631435,8.063697174174173,18.10563478641712,0.0317641503316027,9.7,10.4,9.3,10.6,18.2,16.5,32.7,42.5,4.9
01029,2019,44741.0,0.1728352909041245,0.1541837610914989,0.0594924192485168,0.3372640527931125,9.734842029974152,8.047364390661182,15.928388879046928,0.0309262568853443,8.5,9.8,8.9,10.9,22.7,13.9,34.8,36.0,4.6
01029,2020,46320.0,0.1557410423452769,0.1601821977604858,0.0329341317365269,0.3317233816209483,8.807705193253401,7.5754772143055344,15.820503659003606,0.0272127454300538,8.3,10.5,9.9,11.6,22.9,14.4,32.1,37.1,4.6
01029,2021,48333.0,0.1417920472864051,0.1638412728478075,0.0447167936402782,0.3509387585003322,9.300127228512263,8.29881097880329,17.026987047002944,0.0283235809400519,8.2,10.3,8.5,10.3,20.0,13.8,34.1,36.4,4.0
01029,2022,51553.0,0.1289224195486714,0.1649106302916274,0.0260095824777549,0.3238628872232047,9.107257406959109,7.806925749506541,17.358273944811465,0.0300253703569081,7.9,9.7,9.3,11.1,21.1,13.6,30.5,38.6,4.3
01029,2023,53319.0,0.1315475401140432,0.1821195101740171,0.0154536390827517,0.3501163276971556,8.983788459940653,9.268875409273882,18.271563831890205,0.0322717549104852,9.7,10.0,8.4,9.8,17.8,14.6,30.5,37.4,4.3
01031,2019,55637.0,0.1506935439506463,0.2279205508174425,0.0573985628845574,0.260182038590113,7.494916681252794,8.134504555187785,15.400525597576,0.029718113167278,7.4,9.4,7.4,8.4,20.2,13.2,33.9,34.8,4.1
01031,2020,56799.0,0.1544908316643008,0.2172751558325912,0.0549717759444203,0.2623109940445987,6.741744296369964,7.778676504837557,15.67135506776718,0.0272914026638293,7.6,10.2,8.2,9.0,20.7,14.1,30.8,36.0,4.0
01031,2021,59034.0,0.1594036697247706,0.2268064043359234,0.0509010989010989,0.2779387797940774,7.071079543346064,8.329810333470698,15.849056878433288,0.0275580700813882,7.3,10.3,7.3,8.3,18.1,13.2,31.6,39.7,3.7
01031,2022,62199.0,0.1629958454271242,0.2160794397636503,0.0478186820385169,0.2537979141558891,7.027672233805979,7.903829011061631,16.209226003877472,0.0294025790130509,7.1,9.7,8.0,9.0,19.0,13.4,31.2,43.7,3.9
01031,2023,64672.0,0.1761886036364998,0.215288315629742,0.0434669103250228,0.278911456552869,6.921869497854832,9.23703753429534,17.079324491237163,0.0314135161141715,8.4,10.2,7.6,8.6,16.6,14.8,29.9,41.0,4.2
01033,2019,48065.0,0.1546600796342722,0.1814728304114582,0.0435256168572745,0.2709054391628043,7.90403408570625,7.213235294117647,16.066197235337388,0.0253096341463414,8.2,9.6,8.2,9.6,20.5,14.0,34.3,36.0,4.5
01033,2020,47962.0,0.1551628934290447,0.173708319471812,0.0398907994458479,0.2475416912907216,7.048134778740388,7.267931882339289,16.4196002625832,0.0280347885824217,8.1,10.5,9.4,10.3,20.8,14.8,31.2,38.0,4.5
01033,2021,52017.0,0.1513205869275233,0.1785838078732359,0.0376370983259572,0.2680370935465574,7.223360195751568,8.168711452524771,17.682063902524025,0.0290058254618659,8.0,10.3,7.8,9.0,18.5,13.5,33.0,39.4,3.9
01033,2022,56149.0,0.1587873012511691,0.1804334516958491,0.034085761739393,0.2483791493885493,7.118099587274781,7.494482550643533,18.168638564455737,0.0310343861544699,7.7,9.9,8.6,9.8,19.7,13.6,30.8,37.0,4.2
01033,2023,56736.0,0.1687646831936603,0.2027185318951632,0.0327832375301316,0.2819201305310687,6.967449243746847,8.807842432218132,19.1021991801152,0.0329394716919273,9.2,10.3,8.0,8.9,16.2,15.0,28.6,37.5,4.3
01035,2019,37837.0,0.1759342180249125,0.1277029321861202,0.0924297662449067,0.2609101877418407,7.068555300292171,8.071053263695449,15.648064261340352,0.0300910218316403,8.5,10.7,10.4,11.7,23.3,19.3,41.0,40.9,6.4
01035,2020,35444.0,0.1657349556067083,0.1383412644459551,0.0786360473208072,0.2601917632149483,6.301010755682448,7.890234657156133,16.157375349865934,0.0279200011990561,8.3,11.6,11.7,12.8,23.8,20.5,40.8,43.2,6.5
01035,2021,37986.0,0.1296864349011588,0.1245239469128678,0.0467136150234741,0.2737623006011304,6.586099658724212,8.194316367260646,16.52234066392528,0.0282961814400142,8.4,11.1,9.8,10.9,21.0,19.4,40.3,44.9,5.5
01035,2022,39888.0,0.1842973771061316,0.133142448103078,0.0435336048879837,0.249964586808536,6.541181908888085,7.895524300167438,17.074227319235906,0.0301728484041853,8.0,10.7,10.9,11.9,22.0,19.3,37.3,42.3,5.9
01035,2023,42266.0,0.2763530244074991,0.1312907591977359,0.0826792255363683,0.277124846619328,6.430366789955533,9.063984740765983,17.729642092078638,0.0322414852907103,9.0,11.0,11.1,12.6,20.5,22.1,39.4,46.4,6.7
01037,2019,38990.0,0.1351299140345793,0.1282237559026516,0.0286638927415626,0.2898967660183463,8.856991766530443,8.054101525684656,16.290351340807405,0.0291555095402922,8.8,10.1,10.0,11.3,22.2,17.6,36.5,39.7,5.7
01037,2020,43571.0,0.1249634752118437,0.1155657529283902,0.0255090100631874,0.2748582835320582,7.851046806586677,7.589058783341218,16.010320277698725,0.0257285193940468,8.6,10.9,11.1,12.0,22.9,18.6,35.6,41.0,5.7
01037,2021,50013.0,0.1114754098360655,0.1120636864666258,0.0334816202294544,0.2893919456111236,8.099348539952835,8.10974182252818,16.503160953650085,0.0261990672256508,8.6,10.2,9.0,9.9,18.9,16.4,36.0,39.3,4.7
01037,2022,52279.0,0.110542682315177,0.1063486147347496,0.0439940682155215,0.2509706252672498,7.838549547479442,7.732506207399969,16.342091675989302,0.0281480312060743,8.2,10.0,10.0,11.1,20.3,16.7,32.5,41.9,5.0
01037,2023,57063.0,0.116262767875025,0.148708254568368,0.050546780072904,0.2649812960331507,7.810122199808214,9.091021020765622,17.578780347387468,0.0304434340148874,9.8,10.3,9.8,10.6,17.8,18.6,33.5,41.9,5.5
01039,2019,42189.0,0.1858699240673489,0.1527123537456313,0.083590948435761,0.2588857952244592,7.230292413827145,8.081988899045914,15.39076275332829,0.0299849351119416,8.9,10.1,9.3,11.2,23.1,15.4,37.0,36.7,5.0
01039,2020,42566.0,0.1767294732498968,0.1561480694834256,0.0770375883885374,0.2603256853889686,6.480917765616378,7.820447877724059,16.034807092020596,0.0278024640687093,8.6,10.8,10.3,11.1,21.9,15.8,33.4,37.6,4.8
01039,2021,46186.0,0.1803933286249796,0.1580560917452027,0.0704355314960629,0.2748945265943449,6.789323740556782,8.256678369398657,15.817558585478716,0.0279504704988479,8.5,10.5,9.0,10.5,20.7,15.0,33.8,40.2,4.4
